concept,subtopics
SOAP,"Introduction to Web Services and XML|SOAP Message Structure and Envelope|WSDL (Web Services Description Language)|SOAP Bindings and Protocols (HTTP, SMTP)|SOAP Faults and Error Handling|SOAP vs REST Comparison|Implementing SOAP Clients and Servers"
CI/CD,"Introduction to Continuous Integration Principles|Version Control Systems (Git) for CI/CD|Automated Build Processes|Unit and Integration Testing in CI|Continuous Delivery vs Continuous Deployment|Deployment Strategies (Blue/Green, Canary)|CI/CD Pipeline Tools (e.g., Jenkins, GitLab CI, GitHub Actions)|Infrastructure as Code for CI/CD|Monitoring and Feedback Loops in CD"
Vim / Nano / Emacs,"Basic Text Editing with Nano|Vim Modes (Normal, Insert, Visual, Command)|Vim Basic Navigation and Editing Commands|Vim Search, Replace, and Undo/Redo|Vim Configuration (.vimrc) and Plugins|Emacs Basic Navigation and Editing|Emacs Buffers, Windows, and Frames|Emacs Lisp for Customization"
DOM Manipulation,"Understanding the Document Object Model Tree Structure|Selecting Elements (getElementById, querySelector)|Modifying Element Content (textContent, innerHTML)|Changing Element Attributes and Styles|Creating and Appending New Elements|Event Handling and Listeners|Traversing the DOM (Parent, Child, Sibling Nodes)|Performance Considerations for DOM Manipulation"
Advanced JavaScript Concepts,"Closures and Scope Chains|Prototypal Inheritance and Object Prototypes|The 'this' Keyword Context Binding|Asynchronous JavaScript (Promises, Async/Await)|Generators and Iterators|Decorators and Proxies|Module Systems (CommonJS, ES Modules)|Error Handling and Custom Errors"
Frontend Framework Fundamentals,"Introduction to Component-Based Architecture|Data Binding and State Management Basics|Routing and Navigation within SPAs|Lifecycle Hooks of Components|Event Handling and User Interaction|Templating Syntax (JSX, Vue Templates, Angular Templates)|Build Tools and Project Setup (Webpack, Vite)|Performance Optimization Techniques"
Cloud Services Architecture,"Cloud Computing Models (IaaS, PaaS, SaaS)|Deployment Models (Public, Private, Hybrid)|Core Cloud Services (Compute, Storage, Networking)|Serverless Computing Concepts|Microservices Architecture in the Cloud|Containerization and Orchestration (Kubernetes)|Cloud Security Best Practices|Cost Management and Optimization in the Cloud"
Infrastructure Concepts,"Operating System Fundamentals (Linux, Windows)|Networking Basics (TCP/IP, DNS, HTTP)|Virtualization Technologies (VMs, Hypervisors)|Storage Systems (SAN, NAS, Object Storage)|Databases (Relational vs NoSQL)|Load Balancing and High Availability|Monitoring and Logging Systems|Infrastructure as Code (Terraform, Ansible)"
Cloud Provider Ecosystems,"Introduction to Major Cloud Providers (AWS, Azure, GCP)|Core Compute Services (EC2, Azure VMs, GCE)|Core Storage Services (S3, Azure Blob, GCS)|Core Networking Services (VPC, VNet, GCP VPC)|Database Services (RDS, Azure SQL, Cloud SQL)|Serverless Offerings (Lambda, Azure Functions, Cloud Functions)|Managed Kubernetes Services (EKS, AKS, GKE)|Identity and Access Management (IAM) across providers"
Data Architecture Patterns,"Relational Database Design Principles|NoSQL Database Types and Use Cases|Data Warehousing and Data Lakes|ETL/ELT Processes|Batch Processing vs Stream Processing|Data Governance and Data Quality|Data Modeling Techniques (Dimensional, ER)|Data Security and Privacy Considerations"
Advanced Data Infrastructure,"Distributed Database Systems (Sharding, Replication)|Big Data Technologies (Hadoop, Spark)|Data Streaming Platforms (Kafka, Kinesis)|Columnar Databases and OLAP Systems|Graph Databases and Their Applications|Data Mesh and Data Fabric Concepts|Data Observability and Monitoring|Data Pipeline Orchestration (Airflow, Dagster)"
Cryptography Fundamentals,"Basic Cryptographic Terminology (Cipher, Plaintext, Ciphertext)|Symmetric-Key Cryptography (AES, DES)|Asymmetric-Key Cryptography (RSA, ECC)|Hashing Functions and Digital Signatures|Key Exchange Protocols (Diffie-Hellman)|Public Key Infrastructure (PKI) and Certificates|Random Number Generation for Cryptography|Common Cryptographic Attacks and Countermeasures"
Secrets Management,"Understanding the Need for Secrets Management|Hardcoding vs Environment Variables for Secrets|Secrets Sprawl and its Risks|Key Management Systems (KMS) Concepts|Vaulting Solutions (HashiCorp Vault, AWS Secrets Manager)|Integrating Secrets Management with CI/CD|Rotation and Lifecycle Management of Secrets|Auditing and Monitoring Secret Access"
Network Security Concepts,"Firewalls and Intrusion Detection/Prevention Systems (IDS/IPS)|Virtual Private Networks (VPNs)|Network Segmentation and VLANs|Denial of Service (DoS) and Distributed DoS (DDoS) Attacks|Packet Sniffing and Man-in-the-Middle Attacks|Authentication, Authorization, and Accounting (AAA)|Wireless Network Security (WPA2/3)|Security Information and Event Management (SIEM)"
Security Tools Fundamentals,"Vulnerability Scanners (Nessus, OpenVAS)|Penetration Testing Tools (Metasploit, Nmap)|Static Application Security Testing (SAST)|Dynamic Application Security Testing (DAST)|Security Information and Event Management (SIEM) Platforms|Endpoint Detection and Response (EDR) Solutions|Web Application Firewalls (WAFs)|Identity and Access Management (IAM) Systems"
Supervised vs Unsupervised Learning,"Introduction to Machine Learning Paradigms|Labeled vs Unlabeled Data|Regression Algorithms (Linear, Polynomial)|Classification Algorithms (Logistic Regression, SVM, Decision Trees)|Clustering Algorithms (K-Means, Hierarchical)|Dimensionality Reduction Techniques (PCA)|Evaluation Metrics for Supervised Learning|Evaluation Metrics for Unsupervised Learning"
Neural Networks,"Biological Neuron Analogy and Perceptrons|Activation Functions (Sigmoid, ReLU, Tanh)|Feedforward Neural Networks Architecture|Backpropagation Algorithm for Training|Loss Functions and Optimizers (SGD, Adam)|Overfitting and Regularization Techniques|Convolutional Neural Networks (CNNs) Basics|Recurrent Neural Networks (RNNs) Basics"
Advanced Deep Learning,"Advanced CNN Architectures (ResNet, Inception)|Object Detection and Segmentation (YOLO, Mask R-CNN)|Advanced RNNs (LSTMs, GRUs)|Attention Mechanisms and Transformers|Generative Adversarial Networks (GANs)|Reinforcement Learning Fundamentals|Transfer Learning and Fine-tuning Models|Model Deployment and MLOps for Deep Learning"
Product Management Fundamentals,Defining Product Vision and Strategy|Understanding User Needs and Market Research|Product Lifecycle Management|Agile Methodologies for Product Development|Roadmapping and Prioritization Techniques|Metrics and KPIs for Product Success|Stakeholder Management and Communication|Go-to-Market Strategy Basics
Strategic Product Planning,Market Analysis and Competitive Landscape|Business Model Innovation and Value Proposition Design|Long-Term Product Vision and North Star Metrics|Portfolio Management and Product Line Strategy|Disruptive Innovation and Technology Trends|Strategic Partnerships and Ecosystem Development|Financial Modeling for Product Investment|Organizational Alignment for Product Strategy
Product Analytics Framework,Understanding Product Analytics Goals|Key Metrics and KPIs Definition|Event Tracking and Data Collection Strategies|Funnel Analysis and User Journey Mapping|Segmentation and Cohort Analysis|A/B Testing and Experimentation Frameworks|North Star Metric Identification and Alignment
Metrics Design & Analysis,Defining Business Objectives and Key Results|Types of Metrics: Vanity vs. Actionable|Metric Hierarchies and Relationships|Data Sources and Collection Methods for Metrics|Statistical Significance and Hypothesis Testing|Anomaly Detection and Trend Analysis|Dashboard Design and Reporting Best Practices
Web Storage,"Introduction to Client-Side Storage|Cookies: Purpose, Limitations, and Management|localStorage and sessionStorage APIs|IndexedDB for Structured Data Storage|Web SQL Database (Historical Context)|Security Considerations for Web Storage|Performance Implications of Client-Side Storage"
Mobile Storage,Overview of Mobile Storage Options|Shared Preferences (Android) / UserDefaults (iOS)|File System Storage and Access Permissions|SQLite Database for Structured Data|Core Data Framework (iOS) for Object Persistence|Room Persistence Library (Android) for SQLite Abstraction|Secure Storage Best Practices on Mobile
NIST,Introduction to NIST and its Mission|NIST Cybersecurity Framework Overview|NIST Special Publications (SP 800 Series)|NIST Risk Management Framework (RMF)|NIST Cryptographic Standards and Guidelines|Compliance with NIST Standards|Implementing NIST Controls in Organizations
AWS,AWS Global Infrastructure and Regions|Identity and Access Management (IAM) Fundamentals|Amazon EC2: Virtual Servers in the Cloud|Amazon S3: Object Storage Service|Amazon VPC: Virtual Private Cloud Networking|AWS Lambda: Serverless Compute|Amazon RDS: Managed Relational Databases|CloudFormation for Infrastructure as Code|Cost Optimization and Billing Management
Econometrics,"Introduction to Econometrics and its Scope|Basic Statistical Concepts and Probability|Simple Linear Regression (OLS)|Multiple Linear Regression Assumptions and Estimation|Hypothesis Testing and Confidence Intervals|Addressing Violations of OLS Assumptions (e.g., Heteroskedasticity)|Time Series Analysis Fundamentals|Panel Data Models and Fixed/Random Effects|Instrumental Variables and Causality"
Coding,"Basic Syntax, Variables, and Data Types|Control Flow: Conditionals and Loops|Functions and Modular Programming|Fundamental Data Structures (Arrays, Lists, Dictionaries)|Object-Oriented Programming Concepts|Algorithms and Problem-Solving Techniques|Debugging and Error Handling|Version Control with Git|Unit Testing and Test-Driven Development"
Exploratory Data Analysis,"Understanding Data Types and Structures|Summary Statistics and Descriptive Analysis|Data Cleaning and Preprocessing Techniques|Univariate Data Visualization (Histograms, Box Plots)|Bivariate and Multivariate Data Visualization (Scatter Plots, Heatmaps)|Outlier Detection and Treatment|Missing Data Imputation Strategies|Correlation Analysis and Feature Relationships|Hypothesis Generation from Data Insights"
Swift (Recommended),"Swift Basic Syntax, Variables, and Constants|Data Types, Type Inference, and Type Safety|Control Flow: Conditionals and Loops|Functions, Closures, and Optionals|Structs, Classes, and Enums|Protocols and Protocol-Oriented Programming|Error Handling and Generics|Memory Management with ARC|Concurrency with async/await"
History and Why Swift?,"Objective-C's Legacy and Limitations|Apple's Motivation for Creating Swift|Key Design Goals of Swift (Safety, Performance, Modernity)|Evolution of Swift Versions and Features|Impact of Swift on iOS/macOS Development|Swift's Open Source Journey and Community|Future Directions and Vision for Swift"
Benefits over Objective-C,Simplified and Modern Syntax|Enhanced Type Safety and Optionals for Nil Handling|Automatic Reference Counting (ARC) for Memory Management|Value Types with Structs and Enums|Protocol-Oriented Programming Paradigm|Improved Performance and Compiler Optimizations|Better Error Handling Mechanisms
Interoperability with Swift,Calling Objective-C Code from Swift|Calling Swift Code from Objective-C|Using Bridging Headers for Mixed Projects|Module Stability and Binary Compatibility|Interacting with C and C++ Libraries|Best Practices for Mixed-Language Projects|Debugging Mixed Swift and Objective-C Code
iOS Architecture,"Overview of the iOS Software Layers|Model-View-Controller (MVC) Design Pattern|Application Lifecycle and States|Delegation and Notification Patterns|Grand Central Dispatch (GCD) for Concurrency|Memory Management and ARC in iOS|Introduction to Other Design Patterns (MVVM, VIPER)|Modularization and Dependency Injection"
Core OS,Understanding the iOS Kernel and Drivers|Process and Thread Management|Memory Management and Virtual Memory|File System and Data Persistence|Security Architecture and Sandboxing|Inter-Process Communication (IPC)|Low-Level System Calls and APIs
Media,"Introduction to Media Types (Audio, Video, Images)|Basic Audio Playback with AVAudioPlayer|Basic Video Playback with AVPlayer|Media Capture from Camera and Microphone|Media Editing and Manipulation Basics|Supported Media Formats and Codecs|Streaming Media Protocols and Technologies"
Core Graphics,"Introduction to Core Graphics Contexts|Basic Drawing Primitives (Lines, Rectangles, Circles)|Paths and Shapes Creation|Colors, Gradients, and Patterns|Transformations (Translation, Rotation, Scaling)|Image Manipulation and Contexts|Custom View Drawing with Core Graphics|Understanding Quartz 2D API"
Core Animation,Introduction to CALayer and Layer Hierarchy|Implicit Animations and Layer Properties|Explicit Animations with CABasicAnimation|Keyframe Animations with CAKeyframeAnimation|Animation Groups and Transitions|Timing Functions and Animation Curves|Custom Layer Properties and Animatable Values|Physics-Based Animations with UIKit Dynamics
AVFoundation,Playing Audio with AVAudioPlayer|Playing Video with AVPlayer and AVPlayerLayer|Capturing Audio and Video with AVCaptureSession|Working with Media Assets (AVAsset)|Custom Video Processing and Filters|Audio Mixing and Effects|Media Composition with AVMutableComposition|Real-time Audio and Video Processing
Core Image,Introduction to Core Image Filters|Applying Built-in Core Image Filters|Chaining Multiple Filters Together|Understanding CIImage and CIContext|Customizing Filter Parameters|Performance Optimization with Core Image|Creating Custom CIFilters with Kernel Programming|GPU Acceleration and Image Processing Pipelines
Core Audio,Introduction to Core Audio Framework|Audio Sessions and Categories|Audio Units (AUs) and their Types|Audio Recording and Playback|Audio Processing Graphs|Low-Latency Audio Techniques|MIDI Integration with Core Audio
Metal,Introduction to GPU Programming and Metal|Metal Device and Command Queue|Render Pipelines and Shaders (MSL)|Buffers and Textures|Drawing Primitives and Render Passes|Compute Pipelines and Kernels|Advanced Rendering Techniques|Performance Optimization in Metal
Cocoa Touch,"Introduction to iOS App Architecture (MVC)|UIKit Framework Overview|Views, Layers, and the View Hierarchy|User Interaction and Event Handling|Table Views and Collection Views|Navigation Controllers and Tab Bar Controllers|Data Persistence (User Defaults, Core Data)|Auto Layout and Adaptive UI"
