concept,subtopics
FTP / SFTP,Understanding File Transfer Protocol basics|Setting up FTP servers|Configuring SFTP for secure transfers|FTP vs SFTP security differences|Active vs Passive FTP modes|FTP client configuration and usage|Troubleshooting FTP connection issues|FTP directory permissions and access control
DNS,DNS hierarchy and root servers|DNS record types (A AAAA CNAME MX)|DNS resolution process and queries|Configuring DNS servers|DNS caching and TTL concepts|DNS security and DNSSEC|Troubleshooting DNS issues|DNS load balancing techniques
HTTP,HTTP request and response structure|HTTP methods (GET POST PUT DELETE)|HTTP status codes and meanings|HTTP headers and their purposes|HTTP/1.1 vs HTTP/2 vs HTTP/3 differences|HTTPS and SSL/TLS integration|HTTP caching mechanisms|RESTful API design with HTTP
SSL / TLS,SSL/TLS handshake process|Certificate authorities and PKI|SSL certificate types and validation|TLS encryption algorithms and ciphers|SSL/TLS configuration best practices|Certificate installation and management|SSL/TLS troubleshooting|Perfect Forward Secrecy concepts
SSH,SSH key generation and management|SSH client and server configuration|SSH tunneling and port forwarding|SSH authentication methods|SSH security hardening|SSH file transfer with SCP and RSYNC|SSH agent and key forwarding|Troubleshooting SSH connections
White / Grey Listing,Email whitelist and greylist concepts|Implementing SPF whitelisting|DNS-based whitelisting techniques|Application-level whitelisting|IP address whitelist management|Firewall whitelist configuration|Greylist temporary blocking mechanisms|Whitelist bypass prevention
SMTP,SMTP protocol fundamentals|SMTP server configuration|Email routing and relay setup|SMTP authentication mechanisms|SMTP security and encryption|Email deliverability optimization|SMTP troubleshooting techniques|Anti-spam SMTP configurations
DMARC,DMARC policy creation and syntax|DMARC alignment requirements|DMARC reporting and analysis|SPF and DKIM integration with DMARC|DMARC deployment strategies|DMARC forensic reports|Email authentication troubleshooting|DMARC policy enforcement levels
IMAP,IMAP protocol fundamentals|IMAP vs POP3 differences|IMAP server configuration|IMAP folder synchronization|IMAP security and encryption|IMAP client configuration|IMAP performance optimization|Troubleshooting IMAP connectivity
SPF,SPF record syntax and mechanisms|SPF policy creation and testing|DNS SPF record configuration|SPF alignment and authentication|SPF record validation tools|SPF troubleshooting techniques|SPF policy optimization|SPF integration with other email security
POP3S,POP3 protocol basics|POP3S encryption setup|POP3 vs IMAP comparison|POP3 server configuration|POP3 client settings|POP3 message handling|POP3 security considerations|Migrating from POP3 to IMAP
Domain Keys,DomainKeys signature generation|DomainKeys DNS record setup|Public and private key management|DomainKeys vs DKIM differences|Email signing and verification|DomainKeys implementation|DomainKeys troubleshooting|Legacy email authentication methods
OSI Model,Physical layer fundamentals|Data link layer protocols|Network layer addressing|Transport layer protocols|Session layer management|Presentation layer encoding|Application layer services|OSI vs TCP/IP model comparison
Networking & Protocols,TCP and UDP protocol differences|Network packet structure|Protocol stack implementation|Network troubleshooting methodologies|Protocol analysis techniques|Network security protocols|Quality of Service (QoS)|Network performance optimization
Vercel,Vercel deployment pipeline|Next.js integration with Vercel|Environment variables configuration|Custom domains and SSL|Vercel Functions (serverless)|Build and deployment optimization|Monitoring and analytics|Vercel CLI usage
Cloudflare,DNS management with Cloudflare|CDN configuration and optimization|DDoS protection setup|SSL certificate management|Web Application Firewall (WAF)|Page rules and caching|Workers and Edge Functions|Analytics and performance monitoring
Azure Functions,Serverless function development|Trigger types and bindings|Azure Functions runtime versions|Local development and testing|Deployment and CI/CD integration|Monitoring and logging|Performance optimization|Cost management strategies
AWS Lambda,Lambda function creation and deployment|Event-driven architecture patterns|Lambda layers and dependencies|Cold start optimization techniques|Lambda security and IAM roles|Monitoring with CloudWatch|Lambda cost optimization|Serverless application patterns
Netlify,Static site deployment process|Git-based deployment workflows|Build configuration and optimization|Form handling and submissions|Netlify Functions implementation|Custom headers and redirects|Domain management and SSL|Analytics and performance monitoring
Provisioning,Infrastructure provisioning concepts|Automated provisioning tools|Cloud resource provisioning|Configuration management|Provisioning templates and scripts|Resource lifecycle management|Provisioning security best practices|Monitoring provisioned resources
OSCP,Penetration testing methodologies|Manual exploitation techniques|Buffer overflow exploitation|Web application security testing|Network service enumeration|Post-exploitation techniques|Report writing and documentation|Ethical hacking principles
CREST,Penetration testing standards|CREST certification pathways|Technical security assessment|Vulnerability assessment methodologies|Social engineering testing|Physical security testing|Reporting and communication|Professional ethics and conduct
CISSP,Information security governance|Asset security management|Security architecture and engineering|Communication and network security|Identity and access management|Security assessment and testing|Security operations management|Software development security
MacOS,MacOS system architecture|File system and directory structure|Terminal and command line usage|System preferences and configuration|Security features and settings|Application installation methods|Backup and recovery procedures|Troubleshooting common issues
Installation and Configuration,System requirements assessment|Pre-installation planning|Installation media preparation|Custom installation options|Post-installation configuration|Driver and software updates|System optimization settings|Configuration backup procedures
Different Versions and Differences,Version comparison methodologies|Compatibility assessment|Migration planning strategies|Feature comparison analysis|Performance benchmarking|Security improvement analysis|Upgrade path planning|Rollback procedures
Navigating using GUI and CLI,Graphical interface navigation|Command line interface basics|Keyboard shortcuts and hotkeys|File manager usage|System administration tools|Task management interfaces|Search and filtering techniques|Accessibility features
Understand Permissions,File system permissions|User and group management|Permission inheritance models|Access control lists (ACLs)|Special permissions and attributes|Permission troubleshooting|Security implications|Cross-platform permission differences
Installing Software and Applications,Package management systems|Software repositories|Dependency resolution|Installation verification|Software updates and patches|Uninstallation procedures|Portable application management|Security considerations
Performing CRUD on Files,Create file operations|Read and view file contents|Update and modify files|Delete and remove files|File copy and move operations|Batch file operations|File attribute management|File recovery techniques
Troubleshooting,Problem identification techniques|Systematic troubleshooting approach|Log file analysis|Diagnostic tool usage|Root cause analysis|Solution implementation|Testing and verification|Documentation and knowledge sharing
Common Commands,File and directory commands|System information commands|Process management commands|Network diagnostic commands|Text processing commands|Archive and compression commands|Permission and ownership commands|Help and documentation commands
Networking Knowledge,Network topology concepts|IP addressing and subnetting|Routing protocols and tables|Switching and VLANs|Network security fundamentals|Wireless networking principles|Network performance monitoring|Troubleshooting network issues
Understand the OSI Model,Layer 1 Physical specifications|Layer 2 Data Link protocols|Layer 3 Network addressing|Layer 4 Transport protocols|Layer 5 Session management|Layer 6 Presentation formatting|Layer 7 Application services|Inter-layer communication
Common Protocols and their Uses,HTTP/HTTPS web protocols|FTP file transfer protocols|SMTP email protocols|DNS name resolution|DHCP address assignment|SNMP network management|SSH secure remote access|Telnet remote terminal access
Common Ports and their Uses,Well-known port assignments|Registered port ranges|Dynamic port allocation|Port security considerations|Port scanning techniques|Firewall port configuration|Service port identification|Port conflict resolution
SSL and TLS Basics,Cryptographic handshake process|Certificate validation|Cipher suite negotiation|Public key infrastructure|SSL/TLS versions comparison|Certificate chain verification|Perfect forward secrecy|Common vulnerabilities
Basics of NAS and SAN,Network Attached Storage architecture|Storage Area Network design|File-level vs block-level access|RAID configuration options|Network protocols for storage|Performance optimization|Backup and disaster recovery|Storage capacity planning
Basics of Subnetting,IP address classes|Subnet mask calculation|CIDR notation usage|Network and broadcast addresses|Variable Length Subnet Masking|Subnetting best practices|Route summarization|Subnet design strategies
Public vs Private IP Addresses,RFC 1918 private address ranges|Public IP address allocation|NAT and PAT concepts|IPv4 address exhaustion|IPv6 addressing schemes|IP address planning|Security implications|Dynamic vs static addressing
localhost,Loopback interface concept|Local service testing|Development environment setup|Port binding on localhost|Security implications|Cross-platform localhost behavior|Localhost vs 127.0.0.1|Local networking troubleshooting
loopback,Loopback interface configuration|Network testing with loopback|Loopback address ranges|Virtual loopback interfaces|Routing with loopback|Loopback security considerations|Troubleshooting loopback issues|Loopback vs physical interfaces
CIDR,Classless Inter-Domain Routing notation|CIDR block allocation|Route aggregation techniques|CIDR vs classful addressing|Subnet calculation with CIDR|VLSM implementation|BGP and CIDR|Network planning with CIDR
subnet mask,Binary subnet mask representation|Decimal subnet mask notation|Subnet mask calculation methods|Variable length subnet masks|Subnet mask troubleshooting|Custom subnet mask creation|Subnet mask validation|Network design considerations
default gateway,Gateway configuration setup|Routing table entries|Gateway selection process|Multiple gateway scenarios|Gateway failover mechanisms|Default route configuration|Gateway performance optimization|Troubleshooting gateway issues
VLAN,Virtual LAN concepts|VLAN tagging protocols|Inter-VLAN routing|VLAN configuration on switches|VLAN security considerations|VLAN troubleshooting|Dynamic VLAN assignment|VLAN best practices
DMZ,Demilitarized Zone architecture|DMZ security policies|Firewall DMZ configuration|DMZ service deployment|Network segmentation strategies|DMZ monitoring and logging|DMZ access control|DMZ vulnerability management
ARP,Address Resolution Protocol operation|ARP table management|ARP spoofing attacks|Gratuitous ARP usage|ARP cache optimization|ARP troubleshooting techniques|Proxy ARP configuration|ARP security considerations
VM,Virtual machine architecture|Hypervisor types and features|VM resource allocation|VM networking configuration|VM storage management|VM security considerations|VM backup and recovery|VM performance optimization
DHCP,DHCP lease process|DHCP server configuration|DHCP reservation setup|DHCP option configuration|DHCP troubleshooting|DHCP failover and redundancy|DHCP security considerations|Dynamic DNS integration
NAT,Network Address Translation concepts|Static NAT configuration|Dynamic NAT operation|PAT (Port Address Translation)|NAT traversal techniques|NAT security implications|NAT performance considerations|NAT troubleshooting
IP,IP addressing fundamentals|IPv4 vs IPv6 comparison|IP packet structure|IP routing concepts|IP fragmentation handling|IP quality of service|IP security extensions|IP troubleshooting tools
Router,Router architecture and components|Routing table management|Dynamic routing protocols|Static route configuration|Router security hardening|Router performance optimization|Router troubleshooting|Router redundancy setup
Switch,Layer 2 switching concepts|MAC address learning|Spanning Tree Protocol|Switch port configuration|VLAN implementation|Switch security features|Switch troubleshooting|Switch stacking and bonding
VPN,VPN protocols and types|Site-to-site VPN setup|Remote access VPN configuration|VPN encryption methods|VPN authentication mechanisms|VPN troubleshooting|VPN performance optimization|VPN security best practices
MAN,Metropolitan Area Network design|MAN technologies and protocols|MAN vs WAN differences|MAN service provider options|MAN security considerations|MAN performance optimization|MAN cost analysis|MAN redundancy planning
LAN,Local Area Network architecture|LAN protocols and standards|Ethernet technology|LAN security implementation|LAN performance monitoring|LAN troubleshooting|Wireless LAN integration|LAN expansion strategies
WAN,Wide Area Network technologies|WAN connectivity options|WAN optimization techniques|WAN security implementations|WAN cost management|WAN redundancy design|WAN performance monitoring|WAN troubleshooting
WLAN,Wireless LAN standards|Access point deployment|Wireless security protocols|WLAN performance optimization|Wireless site surveys|WLAN troubleshooting|Guest network setup|Enterprise WLAN management
NTP,Network Time Protocol operation|NTP server hierarchy|Time synchronization accuracy|NTP security considerations|NTP troubleshooting|Chrony vs NTP comparison|GPS time source integration|NTP monitoring and logging
IPAM,IP Address Management systems|IP address allocation strategies|DHCP and DNS integration|IPAM database design|Automated IP discovery|IP address lifecycle management|IPAM reporting and analytics|IPAM security considerations
Star,Star topology advantages|Central hub requirements|Star network scalability|Fault tolerance in star networks|Cable management in star topology|Star topology troubleshooting|Cost analysis of star networks|Star topology security considerations
Ring,Ring topology operation|Token passing mechanisms|Ring network fault tolerance|Fiber optic ring networks|Ring topology troubleshooting|Ring network performance|SONET/SDH ring networks|Ring topology redundancy
Mesh,Mesh topology design|Full mesh vs partial mesh|Wireless mesh networks|Mesh routing protocols|Mesh network scalability|Self-healing mesh capabilities|Mesh topology cost analysis|Mesh network security
Bus,Bus topology fundamentals|Collision detection mechanisms|Bus network limitations|Coaxial cable bus networks|Bus topology troubleshooting|Legacy bus network migration|Bus network performance issues|Bus topology security vulnerabilities
RDP,Remote Desktop Protocol setup|RDP security hardening|RDP performance optimization|RDP licensing requirements|RDP troubleshooting|Alternative remote access solutions|RDP network requirements|RDP session management
FTP,File Transfer Protocol basics|FTP server configuration|FTP client usage|Active vs passive FTP modes|FTP security considerations|FTPS vs SFTP comparison|FTP automation scripting|FTP troubleshooting techniques
SFTP,SSH File Transfer Protocol setup|SFTP vs FTP security differences|SFTP client configuration|SFTP server hardening|SFTP key management|SFTP automation and scripting|SFTP performance optimization|SFTP troubleshooting
VMWare,VMware vSphere architecture|Virtual machine management|ESXi hypervisor configuration|vCenter Server administration|VMware networking concepts|Storage management with VMware|VMware security best practices|VMware performance optimization
VirtualBox,VirtualBox installation and setup|Virtual machine creation|VirtualBox networking modes|Shared folders and clipboard|VirtualBox guest additions|Snapshot management|VirtualBox CLI usage|VirtualBox troubleshooting
esxi,ESXi installation and configuration|ESXi networking setup|Virtual machine management|ESXi storage configuration|ESXi security hardening|ESXi monitoring and logging|ESXi backup strategies|ESXi troubleshooting
proxmox,Proxmox VE installation|Container and VM management|Proxmox clustering setup|Storage configuration|Network configuration|Backup and restore procedures|Proxmox web interface usage|High availability configuration
Hypervisor,Type 1 vs Type 2 hypervisors|Hypervisor architecture|Resource allocation and scheduling|Hardware virtualization support|Hypervisor security considerations|Performance optimization|Hypervisor migration|Virtualization troubleshooting
GuestOS,Guest operating system installation|Guest OS optimization|Integration services setup|Guest OS security hardening|Resource allocation for guests|Guest OS backup strategies|Cross-platform guest support|Guest OS troubleshooting
HostOS,Host operating system requirements|Host OS optimization for virtualization|Security hardening of host systems|Resource management|Host OS monitoring|Backup and disaster recovery|Host OS maintenance|Performance tuning
nslookup,DNS lookup command usage|Forward and reverse DNS queries|Query type specification|Nslookup troubleshooting|Interactive vs non-interactive mode|DNS server specification|Record type queries|Debugging DNS issues
iptables,Iptables rule syntax|Chain management (INPUT OUTPUT FORWARD)|Target actions (ACCEPT REJECT DROP)|NAT and port forwarding|Packet matching criteria|Iptables script automation|Firewall policy design|Iptables troubleshooting
Packet Sniffers,Network traffic capture techniques|Packet analysis methodologies|Protocol decoding|Traffic filtering and search|Performance impact considerations|Legal and ethical considerations|Popular packet sniffing tools|Network troubleshooting with sniffers
ipconfig,IP configuration display|Network adapter information|DNS cache management|DHCP lease renewal|Network troubleshooting with ipconfig|Command line options|Cross-platform alternatives|Network configuration validation
netstat,Network connection display|Listening port identification|Process and PID association|Network statistics viewing|TCP connection states|UDP connection monitoring|Routing table display|Network troubleshooting techniques
Port Scanners,Port scanning techniques|Stealth scanning methods|Service enumeration|Port scan interpretation|Nmap usage and options|Scan timing and performance|Legal and ethical considerations|Defense against port scans
ping,ICMP ping operation|Network connectivity testing|Ping response analysis|Continuous ping monitoring|Ping flood testing|IPv6 ping usage|Ping troubleshooting|Network latency measurement
dig,DNS lookup with dig command|Query type specification|Authoritative vs recursive queries|DNS server targeting|Output format options|Reverse DNS lookups|DNS troubleshooting with dig|Batch DNS queries
Protocol Analyzers,Network protocol analysis|Deep packet inspection|Traffic pattern recognition|Performance bottleneck identification|Security threat detection|Protocol compliance testing|Network forensics|Troubleshooting network issues
nmap,Network discovery techniques|Port scanning methodologies|Service version detection|Operating system fingerprinting|Vulnerability scanning|Nmap scripting engine|Stealth scanning techniques|Network security assessment
route,Routing table management|Static route configuration|Route addition and deletion|Route metrics and priorities|Default route setup|Route troubleshooting|Dynamic routing integration|Multi-homed routing
tcpdump,Packet capture with tcpdump|Capture filter expressions|Output format options|Real-time packet analysis|Capture file management|Network troubleshooting techniques|Performance considerations|Security monitoring
tracert,Route tracing methodology|Hop-by-hop analysis|Network path identification|Latency measurement|MTU discovery|IPv6 traceroute|Troubleshooting routing issues|Network topology mapping
